PRECINCT,CANDIDATE,PARTY,VOTES,PERCENTAGE
Election District 16-10,JOHN MACHUREK,Non-Partisan Delaware,1,2.7 %
Election District 16-11,SCOTT PHILLIPS,Democratic Party,185,82.22 %
Election District 16-11,JOHN MACHUREK,Non-Partisan Delaware,40,17.78 %
Election District 16-12,SCOTT PHILLIPS,Democratic Party,370,89.59 %
Election District 16-12,JOHN MACHUREK,Non-Partisan Delaware,43,10.41 %
Election District 16-13,SCOTT PHILLIPS,Democratic Party,122,88.41 %
Election District 16-13,JOHN MACHUREK,Non-Partisan Delaware,16,11.59 %
Election District 17-01,SCOTT PHILLIPS,Democratic Party,309,79.03 %
Election District 17-01,JOHN MACHUREK,Non-Partisan Delaware,82,20.97 %
Election District 17-02,SCOTT PHILLIPS,Democratic Party,772,94.26 %
Election District 17-02,JOHN MACHUREK,Non-Partisan Delaware,47,5.74 %
Election District 17-03,SCOTT PHILLIPS,Democratic Party,628,91.55 %
Election District 17-03,JOHN MACHUREK,Non-Partisan Delaware,58,8.45 %
Election District 17-04,SCOTT PHILLIPS,Democratic Party,271,88.56 %
Election District 17-04,JOHN MACHUREK,Non-Partisan Delaware,35,11.44 %
Election District 17-05,SCOTT PHILLIPS,Democratic Party,342,83.62 %
Election District 17-05,JOHN MACHUREK,Non-Partisan Delaware,67,16.38 %
Election District 17-06,SCOTT PHILLIPS,Democratic Party,48,77.42 %
Election District 17-06,JOHN MACHUREK,Non-Partisan Delaware,14,22.58 %
Election District 17-07,SCOTT PHILLIPS,Democratic Party,240,83.33 %
Election District 17-07,JOHN MACHUREK,Non-Partisan Delaware,48,16.67 %
Election District 17-08,SCOTT PHILLIPS,Democratic Party,224,92.18 %
Election District 17-08,JOHN MACHUREK,Non-Partisan Delaware,19,7.82 %
Election District 17-09,SCOTT PHILLIPS,Democratic Party,322,82.56 %
Election District 17-09,JOHN MACHUREK,Non-Partisan Delaware,68,17.44 %
Election District 17-10,SCOTT PHILLIPS,Democratic Party,282,85.2 %
Election District 17-10,JOHN MACHUREK,Non-Partisan Delaware,49,14.8 %
Election District 17-11,SCOTT PHILLIPS,Democratic Party,380,83.7 %
Election District 17-11,JOHN MACHUREK,Non-Partisan Delaware,74,16.3 %
Election District 17-12,SCOTT PHILLIPS,Democratic Party,316,80.82 %
Election District 17-12,JOHN MACHUREK,Non-Partisan Delaware,75,19.18 %
Election District 17-13,SCOTT PHILLIPS,Democratic Party,17,94.44 %
Election District 17-13,JOHN MACHUREK,Non-Partisan Delaware,1,5.56 %
Election District 17-14,SCOTT PHILLIPS,Democratic Party,0,0 %
Election District 17-14,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 18-01,SCOTT PHILLIPS,Democratic Party,537,87.32 %
Election District 18-01,JOHN MACHUREK,Non-Partisan Delaware,78,12.68 %
Election District 18-02,SCOTT PHILLIPS,Democratic Party,428,84.92 %
Election District 18-02,JOHN MACHUREK,Non-Partisan Delaware,76,15.08 %
Election District 18-03,SCOTT PHILLIPS,Democratic Party,254,88.19 %
Election District 18-03,JOHN MACHUREK,Non-Partisan Delaware,34,11.81 %
Election District 18-04,SCOTT PHILLIPS,Democratic Party,529,87.01 %
Election District 18-04,JOHN MACHUREK,Non-Partisan Delaware,79,12.99 %
Election District 18-05,SCOTT PHILLIPS,Democratic Party,587,83.62 %
Election District 18-05,JOHN MACHUREK,Non-Partisan Delaware,115,16.38 %
Election District 18-06,SCOTT PHILLIPS,Democratic Party,610,91.45 %
Election District 18-06,JOHN MACHUREK,Non-Partisan Delaware,57,8.55 %
Election District 18-07,SCOTT PHILLIPS,Democratic Party,242,81.21 %
Election District 18-07,JOHN MACHUREK,Non-Partisan Delaware,56,18.79 %
Election District 18-08,SCOTT PHILLIPS,Democratic Party,671,91.54 %
Election District 18-08,JOHN MACHUREK,Non-Partisan Delaware,62,8.46 %
Election District 18-09,SCOTT PHILLIPS,Democratic Party,252,86.01 %
Election District 18-09,JOHN MACHUREK,Non-Partisan Delaware,41,13.99 %
Election District 19-01,SCOTT PHILLIPS,Democratic Party,412,84.25 %
Election District 19-01,JOHN MACHUREK,Non-Partisan Delaware,77,15.75 %
Election District 19-02,SCOTT PHILLIPS,Democratic Party,269,82.26 %
Election District 19-02,JOHN MACHUREK,Non-Partisan Delaware,58,17.74 %
Election District 19-03,SCOTT PHILLIPS,Democratic Party,569,81.87 %
Election District 19-03,JOHN MACHUREK,Non-Partisan Delaware,126,18.13 %
Election District 19-04,SCOTT PHILLIPS,Democratic Party,406,80.24 %
Election District 19-04,JOHN MACHUREK,Non-Partisan Delaware,100,19.76 %
Election District 19-05,SCOTT PHILLIPS,Democratic Party,160,84.21 %
Election District 19-05,JOHN MACHUREK,Non-Partisan Delaware,30,15.79 %
Election District 19-06,SCOTT PHILLIPS,Democratic Party,67,80.72 %
Election District 19-06,JOHN MACHUREK,Non-Partisan Delaware,16,19.28 %
Election District 19-07,SCOTT PHILLIPS,Democratic Party,279,80.17 %
Election District 19-07,JOHN MACHUREK,Non-Partisan Delaware,69,19.83 %
Election District 19-08,SCOTT PHILLIPS,Democratic Party,403,80.92 %
Election District 19-08,JOHN MACHUREK,Non-Partisan Delaware,95,19.08 %
Election District 19-09,SCOTT PHILLIPS,Democratic Party,371,77.62 %
Election District 19-09,JOHN MACHUREK,Non-Partisan Delaware,107,22.38 %
Election District 19-10,SCOTT PHILLIPS,Democratic Party,271,82.87 %
Election District 19-10,JOHN MACHUREK,Non-Partisan Delaware,56,17.13 %
Election District 19-11,SCOTT PHILLIPS,Democratic Party,175,77.43 %
Election District 19-11,JOHN MACHUREK,Non-Partisan Delaware,51,22.57 %
Election District 19-12,SCOTT PHILLIPS,Democratic Party,342,87.92 %
Election District 19-12,JOHN MACHUREK,Non-Partisan Delaware,47,12.08 %
Election District 19-13,SCOTT PHILLIPS,Democratic Party,548,83.92 %
Election District 19-13,JOHN MACHUREK,Non-Partisan Delaware,105,16.08 %
Election District 21-01,SCOTT PHILLIPS,Democratic Party,286,88.27 %
Election District 21-01,JOHN MACHUREK,Non-Partisan Delaware,38,11.73 %
Election District 21-02,SCOTT PHILLIPS,Democratic Party,409,80.2 %
Election District 21-02,JOHN MACHUREK,Non-Partisan Delaware,101,19.8 %
Election District 21-03,SCOTT PHILLIPS,Democratic Party,412,79.54 %
Election District 21-03,JOHN MACHUREK,Non-Partisan Delaware,106,20.46 %
Election District 21-04,SCOTT PHILLIPS,Democratic Party,493,84.42 %
Election District 21-04,JOHN MACHUREK,Non-Partisan Delaware,91,15.58 %
Election District 21-05,SCOTT PHILLIPS,Democratic Party,694,83.11 %
Election District 21-05,JOHN MACHUREK,Non-Partisan Delaware,141,16.89 %
Election District 21-06,SCOTT PHILLIPS,Democratic Party,595,83.8 %
Election District 21-06,JOHN MACHUREK,Non-Partisan Delaware,115,16.2 %
Election District 21-07,SCOTT PHILLIPS,Democratic Party,30,63.83 %
Election District 21-07,JOHN MACHUREK,Non-Partisan Delaware,17,36.17 %
Election District 21-08,SCOTT PHILLIPS,Democratic Party,348,79.63 %
Election District 21-08,JOHN MACHUREK,Non-Partisan Delaware,89,20.37 %
Election District 21-09,SCOTT PHILLIPS,Democratic Party,271,82.87 %
Election District 21-09,JOHN MACHUREK,Non-Partisan Delaware,56,17.13 %
Election District 21-10,SCOTT PHILLIPS,Democratic Party,467,81.08 %
Election District 21-10,JOHN MACHUREK,Non-Partisan Delaware,109,18.92 %
Election District 21-11,SCOTT PHILLIPS,Democratic Party,583,80.86 %
Election District 21-11,JOHN MACHUREK,Non-Partisan Delaware,138,19.14 %
Election District 21-12,SCOTT PHILLIPS,Democratic Party,248,79.74 %
Election District 21-12,JOHN MACHUREK,Non-Partisan Delaware,63,20.26 %
Election District 21-13,SCOTT PHILLIPS,Democratic Party,470,87.2 %
Election District 21-13,JOHN MACHUREK,Non-Partisan Delaware,69,12.8 %
Election District 21-14,SCOTT PHILLIPS,Democratic Party,113,77.4 %
Election District 21-14,JOHN MACHUREK,Non-Partisan Delaware,33,22.6 %
Election District 21-15,SCOTT PHILLIPS,Democratic Party,3,100 %
Election District 21-15,JOHN MACHUREK,Non-Partisan Delaware,0,0 %
Election District 22-01,SCOTT PHILLIPS,Democratic Party,518,82.35 %
Election District 22-01,JOHN MACHUREK,Non-Partisan Delaware,111,17.65 %
Election District 22-02,SCOTT PHILLIPS,Democratic Party,432,80.6 %
Election District 22-02,JOHN MACHUREK,Non-Partisan Delaware,104,19.4 %
Election District 22-03,SCOTT PHILLIPS,Democratic Party,527,83.65 %
Election District 22-03,JOHN MACHUREK,Non-Partisan Delaware,103,16.35 %
Election District 22-04,SCOTT PHILLIPS,Democratic Party,549,82.68 %
Election District 22-04,JOHN MACHUREK,Non-Partisan Delaware,115,17.32 %
Election District 22-05,SCOTT PHILLIPS,Democratic Party,732,82.25 %
Election District 22-05,JOHN MACHUREK,Non-Partisan Delaware,158,17.75 %
Election District 22-06,SCOTT PHILLIPS,Democratic Party,390,85.71 %
Election District 22-06,JOHN MACHUREK,Non-Partisan Delaware,65,14.29 %
Election District 22-07,SCOTT PHILLIPS,Democratic Party,482,86.38 %
Election District 22-07,JOHN MACHUREK,Non-Partisan Delaware,76,13.62 %
Election District 22-08,SCOTT PHILLIPS,Democratic Party,427,85.74 %
Election District 22-08,JOHN MACHUREK,Non-Partisan Delaware,71,14.26 %
Election District 22-09,SCOTT PHILLIPS,Democratic Party,465,86.59 %
Election District 22-09,JOHN MACHUREK,Non-Partisan Delaware,72,13.41 %
Election District 22-10,SCOTT PHILLIPS,Democratic Party,694,85.05 %
Election District 22-10,JOHN MACHUREK,Non-Partisan Delaware,122,14.95 %
Election District 22-11,SCOTT PHILLIPS,Democratic Party,416,81.57 %
Election District 22-11,JOHN MACHUREK,Non-Partisan Delaware,94,18.43 %
Election District 22-12,SCOTT PHILLIPS,Democratic Party,503,80.87 %
Election District 22-12,JOHN MACHUREK,Non-Partisan Delaware,119,19.13 %
Election District 22-13,SCOTT PHILLIPS,Democratic Party,570,85.59 %
Election District 22-13,JOHN MACHUREK,Non-Partisan Delaware,96,14.41 %
Election District 23-01,SCOTT PHILLIPS,Democratic Party,90,85.71 %
Election District 23-01,JOHN MACHUREK,Non-Partisan Delaware,15,14.29 %
Election District 23-02,SCOTT PHILLIPS,Democratic Party,642,84.58 %
Election District 23-02,JOHN MACHUREK,Non-Partisan Delaware,117,15.42 %
Election District 23-03,SCOTT PHILLIPS,Democratic Party,491,84.66 %
Election District 23-03,JOHN MACHUREK,Non-Partisan Delaware,89,15.34 %
Election District 23-04,SCOTT PHILLIPS,Democratic Party,840,86.51 %
Election District 23-04,JOHN MACHUREK,Non-Partisan Delaware,131,13.49 %
Election District 23-05,SCOTT PHILLIPS,Democratic Party,397,85.56 %
Election District 23-05,JOHN MACHUREK,Non-Partisan Delaware,67,14.44 %
Election District 23-06,SCOTT PHILLIPS,Democratic Party,601,83.82 %
Election District 23-06,JOHN MACHUREK,Non-Partisan Delaware,116,16.18 %
Election District 23-07,SCOTT PHILLIPS,Democratic Party,453,79.61 %
Election District 23-07,JOHN MACHUREK,Non-Partisan Delaware,116,20.39 %
Election District 23-08,SCOTT PHILLIPS,Democratic Party,145,91.19 %
Election District 23-08,JOHN MACHUREK,Non-Partisan Delaware,14,8.81 %
Election District 23-09,SCOTT PHILLIPS,Democratic Party,593,82.25 %
Election District 23-09,JOHN MACHUREK,Non-Partisan Delaware,128,17.75 %
Election District 23-10,SCOTT PHILLIPS,Democratic Party,62,87.32 %
Election District 23-10,JOHN MACHUREK,Non-Partisan Delaware,9,12.68 %
Election District 23-11,SCOTT PHILLIPS,Democratic Party,579,83.31 %
Election District 23-11,JOHN MACHUREK,Non-Partisan Delaware,116,16.69 %
Election District 23-12,SCOTT PHILLIPS,Democratic Party,248,83.78 %
Election District 23-12,JOHN MACHUREK,Non-Partisan Delaware,48,16.22 %
Election District 24-01,SCOTT PHILLIPS,Democratic Party,342,81.43 %
Election District 24-01,JOHN MACHUREK,Non-Partisan Delaware,78,18.57 %
Election District 24-02,SCOTT PHILLIPS,Democratic Party,520,84.01 %
Election District 24-02,JOHN MACHUREK,Non-Partisan Delaware,99,15.99 %
Election District 24-03,SCOTT PHILLIPS,Democratic Party,286,83.87 %
Election District 24-03,JOHN MACHUREK,Non-Partisan Delaware,55,16.13 %
Election District 24-04,SCOTT PHILLIPS,Democratic Party,227,86.64 %
Election District 24-04,JOHN MACHUREK,Non-Partisan Delaware,35,13.36 %
Election District 24-05,SCOTT PHILLIPS,Democratic Party,414,81.82 %
Election District 24-05,JOHN MACHUREK,Non-Partisan Delaware,92,18.18 %
Election District 24-06,SCOTT PHILLIPS,Democratic Party,257,82.64 %
Election District 24-06,JOHN MACHUREK,Non-Partisan Delaware,54,17.36 %
Election District 24-07,SCOTT PHILLIPS,Democratic Party,289,85.25 %
Election District 24-07,JOHN MACHUREK,Non-Partisan Delaware,50,14.75 %
Election District 24-08,SCOTT PHILLIPS,Democratic Party,361,79.34 %
Election District 24-08,JOHN MACHUREK,Non-Partisan Delaware,94,20.66 %
Election District 24-09,SCOTT PHILLIPS,Democratic Party,197,77.87 %
Election District 24-09,JOHN MACHUREK,Non-Partisan Delaware,56,22.13 %
Election District 24-10,SCOTT PHILLIPS,Democratic Party,373,80.39 %
Election District 24-10,JOHN MACHUREK,Non-Partisan Delaware,91,19.61 %
Election District 24-11,SCOTT PHILLIPS,Democratic Party,305,89.44 %
Election District 24-11,JOHN MACHUREK,Non-Partisan Delaware,36,10.56 %
Election District 24-12,SCOTT PHILLIPS,Democratic Party,53,89.83 %
Election District 24-12,JOHN MACHUREK,Non-Partisan Delaware,6,10.17 %
Election District 25-01,SCOTT PHILLIPS,Democratic Party,312,87.89 %
Election District 25-01,JOHN MACHUREK,Non-Partisan Delaware,43,12.11 %
Election District 25-02,SCOTT PHILLIPS,Democratic Party,520,82.28 %
Election District 25-02,JOHN MACHUREK,Non-Partisan Delaware,112,17.72 %
Election District 25-03,SCOTT PHILLIPS,Democratic Party,449,85.85 %
Election District 25-03,JOHN MACHUREK,Non-Partisan Delaware,74,14.15 %
Election District 25-04,SCOTT PHILLIPS,Democratic Party,366,80.26 %
Election District 25-04,JOHN MACHUREK,Non-Partisan Delaware,90,19.74 %
Election District 25-05,SCOTT PHILLIPS,Democratic Party,477,79.5 %
Election District 25-05,JOHN MACHUREK,Non-Partisan Delaware,123,20.5 %
Election District 25-06,SCOTT PHILLIPS,Democratic Party,436,80.74 %
Election District 25-06,JOHN MACHUREK,Non-Partisan Delaware,104,19.26 %
Election District 25-07,SCOTT PHILLIPS,Democratic Party,515,83.47 %
Election District 25-07,JOHN MACHUREK,Non-Partisan Delaware,102,16.53 %
Election District 25-08,SCOTT PHILLIPS,Democratic Party,195,81.93 %
Election District 25-08,JOHN MACHUREK,Non-Partisan Delaware,43,18.07 %
Election District 25-09,SCOTT PHILLIPS,Democratic Party,504,82.49 %
Election District 25-09,JOHN MACHUREK,Non-Partisan Delaware,107,17.51 %
Election District 25-10,SCOTT PHILLIPS,Democratic Party,288,83 %
Election District 25-10,JOHN MACHUREK,Non-Partisan Delaware,59,17 %
Election District 25-11,SCOTT PHILLIPS,Democratic Party,13,92.86 %
Election District 25-11,JOHN MACHUREK,Non-Partisan Delaware,1,7.14 %
Election District 26-01,SCOTT PHILLIPS,Democratic Party,458,83.42 %
Election District 26-01,JOHN MACHUREK,Non-Partisan Delaware,91,16.58 %
Election District 26-02,SCOTT PHILLIPS,Democratic Party,315,87.99 %
Election District 26-02,JOHN MACHUREK,Non-Partisan Delaware,43,12.01 %
Election District 26-03,SCOTT PHILLIPS,Democratic Party,342,88.83 %
Election District 26-03,JOHN MACHUREK,Non-Partisan Delaware,43,11.17 %
Election District 26-04,SCOTT PHILLIPS,Democratic Party,494,87.28 %
Election District 26-04,JOHN MACHUREK,Non-Partisan Delaware,72,12.72 %
Election District 26-05,SCOTT PHILLIPS,Democratic Party,553,88.91 %
Election District 26-05,JOHN MACHUREK,Non-Partisan Delaware,69,11.09 %
Election District 26-06,SCOTT PHILLIPS,Democratic Party,456,83.82 %
Election District 26-06,JOHN MACHUREK,Non-Partisan Delaware,88,16.18 %
Election District 26-07,SCOTT PHILLIPS,Democratic Party,540,85.71 %
Election District 26-07,JOHN MACHUREK,Non-Partisan Delaware,90,14.29 %
Election District 26-08,SCOTT PHILLIPS,Democratic Party,70,84.34 %
Election District 26-08,JOHN MACHUREK,Non-Partisan Delaware,13,15.66 %
Election District 26-09,SCOTT PHILLIPS,Democratic Party,530,94.14 %
Election District 26-09,JOHN MACHUREK,Non-Partisan Delaware,33,5.86 %
Election District 27-01,SCOTT PHILLIPS,Democratic Party,808,83.56 %
Election District 27-01,JOHN MACHUREK,Non-Partisan Delaware,159,16.44 %
Election District 27-02,SCOTT PHILLIPS,Democratic Party,68,75.56 %
Election District 27-02,JOHN MACHUREK,Non-Partisan Delaware,22,24.44 %
Election District 27-03,SCOTT PHILLIPS,Democratic Party,374,86.57 %
Election District 27-03,JOHN MACHUREK,Non-Partisan Delaware,58,13.43 %
Election District 27-04,SCOTT PHILLIPS,Democratic Party,118,90.77 %
Election District 27-04,JOHN MACHUREK,Non-Partisan Delaware,12,9.23 %
Election District 27-05,SCOTT PHILLIPS,Democratic Party,554,83.43 %
Election District 27-05,JOHN MACHUREK,Non-Partisan Delaware,110,16.57 %
Election District 27-06,SCOTT PHILLIPS,Democratic Party,331,87.8 %
Election District 27-06,JOHN MACHUREK,Non-Partisan Delaware,46,12.2 %
Election District 27-07,SCOTT PHILLIPS,Democratic Party,153,73.91 %
Election District 27-07,JOHN MACHUREK,Non-Partisan Delaware,54,26.09 %
Election District 27-08,SCOTT PHILLIPS,Democratic Party,653,82.55 %
Election District 27-08,JOHN MACHUREK,Non-Partisan Delaware,138,17.45 %
Election District 27-09,SCOTT PHILLIPS,Democratic Party,48,64.86 %
Election District 27-09,JOHN MACHUREK,Non-Partisan Delaware,26,35.14 %
Election District 27-10,SCOTT PHILLIPS,Democratic Party,500,78.49 %
Election District 27-10,JOHN MACHUREK,Non-Partisan Delaware,137,21.51 %
Election District 27-11,SCOTT PHILLIPS,Democratic Party,55,71.43 %
Election District 27-11,JOHN MACHUREK,Non-Partisan Delaware,22,28.57 %
Election District 27-12,SCOTT PHILLIPS,Democratic Party,541,80.87 %
Election District 27-12,JOHN MACHUREK,Non-Partisan Delaware,128,19.13 %
Election District 27-13,SCOTT PHILLIPS,Democratic Party,509,73.03 %
Election District 27-13,JOHN MACHUREK,Non-Partisan Delaware,188,26.97 %
Election District 27-14,SCOTT PHILLIPS,Democratic Party,331,73.88 %
Election District 27-14,JOHN MACHUREK,Non-Partisan Delaware,117,26.12 %
Election District 27-15,SCOTT PHILLIPS,Democratic Party,220,75.6 %
Election District 27-15,JOHN MACHUREK,Non-Partisan Delaware,71,24.4 %
Election District 27-16,SCOTT PHILLIPS,Democratic Party,180,75.95 %
Election District 27-16,JOHN MACHUREK,Non-Partisan Delaware,57,24.05 %
Election District 28-01,SCOTT PHILLIPS,Democratic Party,28,51.85 %
Election District 28-01,JOHN MACHUREK,Non-Partisan Delaware,26,48.15 %
Election District 02-07,BRANDON TOOLE,Democratic Party,361,100 %
Election District 13-04,BRANDON TOOLE,Democratic Party,521,100 %
Election District 13-05,BRANDON TOOLE,Democratic Party,379,100 %
Election District 13-06,BRANDON TOOLE,Democratic Party,458,100 %
Election District 13-07,BRANDON TOOLE,Democratic Party,240,100 %
Election District 13-08,BRANDON TOOLE,Democratic Party,399,100 %
Election District 13-09,BRANDON TOOLE,Democratic Party,399,100 %
Election District 13-10,BRANDON TOOLE,Democratic Party,171,100 %
Election District 13-11,BRANDON TOOLE,Democratic Party,312,100 %
Election District 17-06,BRANDON TOOLE,Democratic Party,51,100 %
Election District 17-13,BRANDON TOOLE,Democratic Party,17,100 %
Election District 18-02,BRANDON TOOLE,Democratic Party,468,100 %
Election District 18-04,BRANDON TOOLE,Democratic Party,549,100 %
Election District 18-07,BRANDON TOOLE,Democratic Party,260,100 %
Election District 18-08,BRANDON TOOLE,Democratic Party,701,100 %
Election District 19-01,BRANDON TOOLE,Democratic Party,440,100 %
Election District 19-02,BRANDON TOOLE,Democratic Party,280,100 %
Election District 19-05,BRANDON TOOLE,Democratic Party,168,100 %
Election District 19-06,BRANDON TOOLE,Democratic Party,74,100 %
Election District 19-07,BRANDON TOOLE,Democratic Party,307,100 %
Election District 19-08,BRANDON TOOLE,Democratic Party,435,100 %
Election District 19-11,BRANDON TOOLE,Democratic Party,201,100 %
